Currency,Side,Total Quantity,Price Per Unit,Total Amount,Status,Created At,Updated At
ADA,buy,1.05433475,189.22832706,199.51,filled,2021-09-16 15:03:07 UTC,2021-09-16 15:03:07 UTC
AVAX,sell,0.04,4987.77433814,199.51097353,filled,2021-09-16 14:57:11 UTC,2021-09-16 14:57:11 UTC
AVAX,buy,0.03874388,3867.70798972,149.85,filled,2021-09-10 20:16:59 UTC,2021-09-10 20:16:59 UTC
XRP,sell,1.74739623,85.75645633,149.85050822,filled,2021-09-10 20:16:52 UTC,2021-09-10 20:16:52 UTC
ETH,buy,0.00068489,270366.25346103,185.17,filled,2021-09-08 13:03:11 UTC,2021-09-08 13:03:11 UTC
XRP,buy,4.6046214,86.86924842,400.0,filled,2021-09-08 13:03:06 UTC,2021-09-08 13:03:06 UTC
ICP,buy,0.05287995,4727.69006584,250.0,filled,2021-09-08 13:02:48 UTC,2021-09-08 13:02:48 UTC
XRP,sell,9.7,86.10027285,835.1726466,filled,2021-09-08 05:56:57 UTC,2021-09-08 05:56:57 UTC
XRP,buy,9.70092393,89.18222702,865.15,filled,2021-09-08 04:23:08 UTC,2021-09-08 04:23:08 UTC
ETH,sell,0.0018,273819.12972052,492.8744335,filled,2021-09-08 04:03:19 UTC,2021-09-08 04:03:19 UTC
ICP,sell,0.0363,4782.96440706,173.62160798,filled,2021-09-08 04:02:59 UTC,2021-09-08 04:02:59 UTC
SNX,sell,0.2337,850.01570364,198.64866994,filled,2021-09-08 04:02:51 UTC,2021-09-08 04:02:51 UTC
ICP,buy,0.01138145,5665.35743864,64.48,filled,2021-09-07 11:40:58 UTC,2021-09-07 11:40:58 UTC
ICP,buy,0.02498713,6003.0914719,150.0,filled,2021-09-06 13:38:29 UTC,2021-09-06 13:38:29 UTC
VET,buy,12.93030811,11.60065164,150.0,filled,2021-09-06 07:59:04 UTC,2021-09-06 07:59:04 UTC
ETH,buy,0.00050137,299177.45285593,150.0,filled,2021-09-06 07:57:59 UTC,2021-09-06 07:57:59 UTC
MATIC,buy,1.55145829,128.91097407,200.0,filled,2021-09-06 07:57:36 UTC,2021-09-06 07:57:36 UTC
ICP,sell,0.0349,6204.98666181,216.5540345,filled,2021-09-05 04:33:31 UTC,2021-09-05 04:33:31 UTC
MATIC,sell,2.05,124.17819364,254.56529695,filled,2021-09-04 17:49:59 UTC,2021-09-04 17:49:59 UTC
EOS,sell,0.565,430.73161614,243.36336312,filled,2021-09-03 20:49:15 UTC,2021-09-03 20:49:15 UTC
ICP,buy,0.03490727,5062.842543,176.73,filled,2021-08-31 05:24:57 UTC,2021-08-31 05:24:57 UTC
ICP,sell,0.0346,5107.75858572,176.72844707,filled,2021-08-28 17:35:53 UTC,2021-08-28 17:35:53 UTC
ICP,buy,0.03458712,4567.30748895,157.97,filled,2021-08-26 08:57:05 UTC,2021-08-26 08:57:05 UTC
XRP,sell,1.8,87.76246721,157.97244098,filled,2021-08-26 08:57:00 UTC,2021-08-26 08:57:00 UTC
XRP,buy,1.8052027,87.97350005,158.81,filled,2021-08-26 08:56:30 UTC,2021-08-26 08:56:30 UTC
AVAX,sell,0.04,3970.145832,158.80583328,filled,2021-08-25 10:29:07 UTC,2021-08-25 10:29:07 UTC
ETH,buy,0.00005684,248955.36407089,14.15,filled,2021-08-21 15:09:05 UTC,2021-08-21 15:09:05 UTC
MATIC,buy,1.2130188,123.65842942,150.0,filled,2021-08-21 14:55:09 UTC,2021-08-21 14:55:09 UTC
AVAX,buy,0.04186248,3583.16051351,150.0,filled,2021-08-21 14:54:57 UTC,2021-08-21 14:54:57 UTC
SNX,sell,0.1,1047.06940127,104.70694013,filled,2021-08-21 11:54:02 UTC,2021-08-21 11:54:02 UTC
SNX,sell,0.2,1047.23286135,209.44657227,filled,2021-08-21 11:53:45 UTC,2021-08-21 11:53:45 UTC
EOS,buy,0.5650095,412.50633778,233.07,filled,2021-08-21 11:52:35 UTC,2021-08-21 11:52:35 UTC
LINK,sell,0.1083,2152.03674639,233.06557963,filled,2021-08-20 17:19:02 UTC,2021-08-20 17:19:02 UTC
LINK,buy,0.10834055,2059.06281742,223.08,filled,2021-08-20 07:47:27 UTC,2021-08-20 07:47:27 UTC
KSM,sell,0.0093,23987.02029681,223.07928876,filled,2021-08-20 07:47:06 UTC,2021-08-20 07:47:06 UTC
KSM,buy,0.0093912,25539.85720198,239.85,filled,2021-08-19 17:36:48 UTC,2021-08-19 17:36:48 UTC
ICP,sell,0.0493,4865.09851426,239.84935675,filled,2021-08-19 10:50:33 UTC,2021-08-19 10:50:33 UTC
ETH,buy,0.00078115,233630.7291201,182.5,filled,2021-08-19 07:25:33 UTC,2021-08-19 07:25:33 UTC
SNX,buy,0.28456044,878.5479773,250.0,filled,2021-08-19 07:25:17 UTC,2021-08-19 07:25:17 UTC
ICP,buy,0.04929144,5071.87421494,250.0,filled,2021-08-19 07:24:31 UTC,2021-08-19 07:24:31 UTC
XRP,sell,7.82,87.27714182,682.50724903,filled,2021-08-17 21:10:19 UTC,2021-08-17 21:10:19 UTC
XLM,buy,6.63991286,29.35580692,194.92,filled,2021-08-14 23:02:52 UTC,2021-08-14 23:02:52 UTC
RVN,sell,17.0,11.46561249,194.91541234,filled,2021-08-14 23:01:10 UTC,2021-08-14 23:01:10 UTC
RVN,buy,17.16641813,12.30192568,211.18,filled,2021-08-11 18:48:59 UTC,2021-08-11 18:48:59 UTC
ICP,sell,0.0396,5332.75526243,211.17710839,filled,2021-08-11 18:48:48 UTC,2021-08-11 18:48:48 UTC
ICP,buy,0.03957789,5184.20700541,205.18,filled,2021-08-11 09:26:03 UTC,2021-08-11 09:26:03 UTC
ADA,sell,1.49,132.94041103,198.08121243,filled,2021-08-11 09:25:55 UTC,2021-08-11 09:25:55 UTC
